ANMOIS;MET_INTER_MET ; MET_INTER_OM ; MET_INTER_TOT ; MET_INTAL_MC ; MET_INTAL_LC ; MET_INTAL_TOT ; MET_ENS ; DOM_ENS ; FRA_ENS 
202412;145;148,6;147,1;149,3;130,4;141;142;134;142,4
202411;141,9;121,8;136;126,9;113,9;121,8;124;116;124,3
202410;143,7;134,8;141,6;148,5;127,7;138,9;139,4;119,7;139,3
202409;138,1;116;131,5;122,5;114,9;120,7;122,4;122,6;123,1
202408;169,5;149,6;163,9;178,3;132,9;153,9;155,4;140;155,6
202407;172,2;151,8;166,4;166,5;136,1;151,3;153,6;135,4;153,6
202406;151,8;125,4;143,9;133,8;117;126,4;129,1;127,7;129,7
202405;142,3;120,2;135,8;139,4;114,6;127;128,4;129;129,2
202404;135,4;136,8;136,7;156;122,3;138,4;138,3;124,7;138,5
202403;131,7;124,7;130,1;129,9;115,8;124,1;125,1;134,1;126,2
202402;134,1;138,3;136,3;133;116,3;125,6;127,3;131,1;128,2
202401;136,8;130,9;135,7;116,5;116,2;119,2;121,7;135,5;123
202312;130,1;147,7;136,8;136,5;124,7;132,4;133,1;142,5;134,3
202311;118,2;123,6;120,5;108,4;111,2;113,2;114,5;120,3;115,3
202310;128,7;134;131,1;134,1;127,1;133,1;132,7;120,4;132,6
202309;123,4;118;122;120,1;116,6;121,1;121,2;127,4;122,1
202308;154,8;158,8;156,8;178,4;136,7;155,5;155,7;143,3;155,7
202307;169,8;165,3;168,9;178,9;145,1;161,3;162,6;146,2;162,4
202306;142,2;126;137,1;138,3;123,6;132,3;133,1;131,5;133,6
202305;133,4;115,4;127,6;140,7;121,8;132;131,2;116,6;130,9
202304;124,7;131;127,4;158;128,5;142,7;140;117,7;139,3
202303;106,7;121,5;112,3;117,7;118,7;121,6;119,9;126,3;120,8
202302;106,3;136,3;117,3;124;119,7;124,5;123,2;125,6;123,9
202301;99,9;132,8;111,8;103;119,5;116,8;115,9;131,3;117,2
202212;116;147,7;126,5;136,7;131,7;137,1;135,2;140,9;136,1
202211;108,8;116,6;113,6;110,8;114,9;115,3;116;127,9;117,4
202210;110,7;125,2;117,3;136,7;121,8;132,1;128,8;116,2;128,3
202209;103,9;104,3;106,7;116,6;111,2;116,4;114,6;117,9;115,2
202208;135,2;137,6;139,3;180;134,9;161;155,8;131,6;154,4
202207;152,6;142,2;153,7;189,8;141,9;169,6;166,4;133,1;164,3
202206;123,2;112,1;123,4;127,7;113,7;123,4;124,8;120,7;124,9
202205;114;96,1;112,2;123,9;103,2;116,1;116,2;98,6;115,2
202204;110,3;99,6;110,3;128,8;104,2;119,1;117,6;97,3;116,4
202203;89,7;86,9;91,2;94,8;99,1;99;97,6;95;97,8
202202;91,2;100,9;96,1;97,4;97,9;99,7;99,7;95,7;99,7
202201;88,1;90,1;90,9;87;100,5;95,7;95,2;97,4;95,7
202112;94,3;111,2;101,2;110,1;118,9;116,9;113,1;104,7;112,9
202111;91,5;90,6;91,7;96,3;101,5;100,5;98,4;96,3;98,6
202110;96,3;95,2;96,4;108,8;100,8;104,3;102,3;87,7;101,5
202109;90,7;86,9;89,7;94,3;98,4;97,9;95,9;89,2;95,7
202108;101,7;116;107,6;125,6;108,6;115,1;113,3;107,6;113,3
202107;107,2;117,8;111,8;122,8;110,2;115,3;114,4;109,9;114,5
202106;99,5;87,3;95,4;102,1;97,1;99,6;98,6;96,7;98,8
202105;104,8;81,5;96,6;101;94,8;97,6;97,4;81,9;96,5
202104;102,2;89,2;97,8;99,7;93,6;96,4;96,7;88;96,4
202103;97,8;76,6;90,3;91,6;93;93,3;92,5;83,2;92,1
202102;92,4;93,3;93,2;92,5;92,6;93,3;93,3;88;93,2
202101;86,5;82,4;85,4;92,6;90;91,6;90,1;93,5;90,7
202012;101,1;99,3;101;108,1;97;101,4;101,3;90,6;100,8
202011;88,9;74,9;85,9;82,3;89,9;86,8;86,6;77,4;86,2
202010;94,3;78,5;90,8;87,1;89,8;88,7;89,1;75,8;88,5
202009;91,1;73,8;87,3;84,4;92,7;89,4;88,9;79;88,4
202008;101;110,9;103,6;108,6;103,7;105,7;105,2;102,5;105,1
202007;110,9;118,4;113;123,4;108,6;114,6;114,2;107,9;113,9
202006;110,6;98,7;108,1;116,6;103,5;108,8;108,6;106,7;108,5
202005;90,5;85,3;89,6;98,6;100,3;99,6;97,5;88,4;97,1
202004;84,7;91,1;86,4;94,4;88,5;90,9;89,9;91,8;90
202003;84,2;90,5;86;88,5;91,3;90,2;89,3;97,7;89,7
202002;89,5;108,7;94,3;96,5;98,8;97,9;97,1;105,7;97,5
202001;84,6;100,6;88,6;86;100,4;94,5;93,3;106,1;93,9
201912;96,8;117,7;101,9;107,5;110,2;109,1;107,6;107,9;107,6
201911;88,7;94,1;90,3;91,4;95,3;93,7;93;94,8;93,1
201910;93;104,8;96,1;107,4;103,4;105,1;103,2;95;102,8
201909;91,1;85;90;98,7;95,4;96,8;95,4;92,7;95,3
201908;104,6;120,9;108,8;140,1;111,5;123,6;120,4;117,1;120,3
201907;103,5;124,3;108,7;129,8;117,1;122,5;119,5;114,6;119,3
201906;101,8;94;100,4;108,3;98,2;102,5;102,1;102,6;102,1
201905;92;85,6;90,9;101,8;92,7;96,5;95,3;93,6;95,3
201904;95,7;100,6;97,2;117,4;101,2;108,1;105,8;91,8;105,1
201903;88,2;89,6;88,9;93,4;92,8;93,1;92,2;101,6;92,7
201902;89,8;103,4;93,3;91;95,9;93,9;93,8;96,1;93,9
201901;90,5;94,7;91,8;81,6;95,3;89,6;90;98;90,4
201812;100,8;120;105,6;102,4;106,7;104,9;105,1;114,5;105,5
201811;95,8;88,2;93,5;87,8;93,1;90,9;91,5;95,3;91,6
201810;100,6;95;98,8;101,9;101,1;101,4;100,9;84,8;100
201809;95,9;77,4;90,8;97,6;96,2;96,8;95,5;88,6;95,1
201808;107;109,9;107,5;133,3;111,7;120,7;117,9;106,4;117,2
201807;108,2;112,7;109,1;127,5;116;120,8;118,3;107,6;117,7
201806;105,5;85,2;99,9;104,5;97,4;100,4;100,2;95,7;100
201805;105,4;81,4;98,8;103,9;92;97;97,4;92,6;97,1
201804;105;97,5;102,7;110,8;97,4;103;103;89,6;102,2
201803;98,6;86,9;95,2;94,7;94,6;94,7;94,8;101,1;95,1
201802;97,5;96,8;97,1;93,6;96,7;95,5;95,8;92,4;95,6
201801;93,2;91,3;92,5;84,7;94,4;90,4;90,8;97;91,1
201712;102,8;115;105,7;102,5;104;103,4;103,9;110;104,2
201711;95,6;92,2;94,8;86,7;93,9;91;91,8;93,3;91,9
201710;97,6;99,9;98,2;97,1;102,4;100,3;99,8;90,7;99,4
201709;96;86;93,6;94;97,4;96;95,5;92,8;95,4
201708;105,6;113,1;107,4;124;108,1;114,5;113;108;112,8
201707;107;118,4;109,8;123,3;113,9;117,7;116;112,5;115,9
201706;102,3;92;99,8;100,5;98,7;99,4;99,5;99;99,5
201705;100,1;84,4;96,3;97,5;94,3;95,6;95,7;88,1;95,4
201704;103,2;101,4;102,8;108,1;99,3;102,8;102,8;99,9;102,7
201703;96,1;94,2;95,6;90,3;95,9;93,7;94,1;103,5;94,5
201702;97,4;104,8;99,2;90,5;95,8;93,7;94,8;100,7;95,1
201701;96,3;98,7;96,9;85,5;96,4;92;93;101,6;93,4
